ECNS system logs created 07/01/2012
2012-09-19 17:40:55  logged in 
2012-09-19 17:41:00  logged out 
2012-09-19 17:41:14  logged in 
2012-09-19 17:41:53  logged out 
2012-09-19 17:41:58  logged in 
2012-09-19 17:43:09  logged out 
2012-09-19 17:43:14  logged in 
2012-09-19 17:58:57  logged out 
2012-09-19 17:59:09  logged in 
2012-09-20 12:28:19  logged in 
2012-09-20 12:29:46  logged out 
2012-09-20 12:29:57  logged in 
2012-09-20 12:30:26  logged out 
2012-09-20 12:30:32  logged in 
2012-09-20 12:30:47  logged out 
2012-09-20 12:30:52  logged in 
2012-09-20 12:33:55  logged out 
2012-09-20 12:34:00  logged in 
2012-09-20 12:36:55  logged out 
2012-09-20 12:37:05  logged in 
2012-09-20 12:37:38  logged out 
2012-09-20 12:37:42  logged in 
2012-09-21 08:24:24  logged in 
2012-09-21 08:24:58  logged out 
2012-09-21 08:25:18  logged in 
2012-09-21 08:25:58  logged out 
2012-09-21 08:26:04  logged in 
2012-09-21 08:26:52  logged out 
2012-09-21 08:26:57  logged in 
2012-09-21 09:27:56  logged out 
2012-09-21 09:28:10  logged in 
2012-09-21 09:57:17  logged out 
2012-09-21 09:57:37  logged in 
2012-09-21 09:58:30  logged out 
2012-09-21 09:58:37  logged in 
2012-09-21 09:59:08  logged out 
2012-09-21 09:59:16  logged in 
2012-09-21 10:00:19  logged out 
2012-09-21 10:00:36  logged in 
2012-09-21 10:01:07  logged out 
2012-09-21 10:01:12  logged in 
2012-09-21 10:04:44  logged out 
2012-09-21 10:04:57  logged in 
2012-09-21 10:09:20  logged out 
2012-09-21 10:09:58  logged in 
2012-09-21 10:12:15  logged out 
2012-09-21 10:12:34  logged in 
2012-09-21 10:13:35  logged in 
2012-09-21 10:16:00  logged in 
2012-09-21 10:19:46  logged out 
2012-09-21 10:20:05  logged in 
2012-09-21 10:23:16  logged out 
2012-09-21 10:23:28  logged in 
2012-09-21 10:30:31  logged out 
2012-09-21 10:30:41  logged in 
2012-09-21 10:35:03  logged out 
2012-09-21 10:35:11  logged in 
2012-09-21 10:35:49  logged out 
2012-09-21 10:36:00  logged in 
2012-09-21 10:48:16  logged out 
2012-09-21 10:48:28  logged out 
2012-09-21 10:48:38  logged in 
2012-09-21 10:59:13  logged out 
2012-09-21 10:59:29  logged in 
2012-09-21 10:59:34  logged out 
2012-09-21 10:59:42  logged in 
2012-09-21 11:20:18  logged out 
2012-09-21 11:33:20  logged out 
2012-09-21 11:33:31  logged in 
2012-09-21 11:34:22  logged out 
2012-09-21 11:34:31  logged in 
2012-09-21 11:35:14  logged out 
2012-09-21 11:35:21  logged in 
2012-09-21 11:35:45  logged out 
2012-09-21 11:35:50  logged in 
2012-09-21 11:36:10  logged out 
2012-09-21 11:36:13  logged out 
2012-09-21 11:36:13  logged out 
2012-09-21 11:36:14  logged out 
2012-09-21 11:36:14  logged out 
2012-09-21 11:36:15  logged out 
2012-09-21 11:36:15  logged out 
2012-09-21 11:36:15  logged out 
2012-09-21 11:36:15  logged out 
2012-09-21 11:36:15  logged out 
2012-09-21 11:36:15  logged out 
2012-09-21 11:37:02  logged out 
2012-09-21 11:37:03  logged out 
2012-09-21 11:37:08  logged in 
2012-09-21 11:37:32  logged out 
2012-09-21 11:37:41  logged in 
2012-09-21 11:38:15  logged out 
2012-09-21 11:38:33  logged in 
2012-09-21 11:39:21  logged out 
2012-09-21 11:40:14  logged out 
2012-09-21 11:40:30  logged in 
2012-09-21 13:16:32  logged out 
2012-09-21 13:16:41  logged in 
2012-09-21 13:18:46  logged in 
2012-09-21 17:55:39  logged in 
2012-09-24 11:12:07  logged in 
2012-09-24 13:16:27  logged in 
2012-09-24 16:58:40  logged in 
2012-09-25 08:33:56  logged in 
2012-09-25 12:02:34  logged in 
2012-09-25 16:44:29  logged out 
2012-09-25 16:44:37  logged in 
2012-09-26 08:18:16  logged in 
2012-09-26 15:14:22  logged in 
2012-09-27 10:26:24  logged in 
2012-09-27 16:17:37  logged in 
2012-09-28 08:53:30  logged in 
2012-09-28 10:15:42  logged out 
2012-09-28 13:54:42  logged in 
2012-10-01 08:31:23  logged in 
2012-10-02 09:37:13  logged in 
2012-10-02 09:37:21  logged out 
2012-10-02 09:37:36  logged in 
2012-10-02 14:50:41  logged in 
2012-10-02 16:41:55  logged out 
2012-10-02 16:42:00  logged in 
2012-10-02 16:42:48  logged out 
2012-10-02 16:42:54  logged in 
2012-10-03 08:31:03  logged in 
2012-10-03 12:08:09  logged in 
2012-10-04 08:29:29  logged in 
2012-10-05 10:01:00  logged in 
2012-10-05 10:37:34  logged out 
2012-10-05 10:37:38  logged in 
2012-10-05 14:30:28  logged in 
2012-10-08 08:36:54  logged in 
2012-10-08 14:31:58  logged in 
2012-10-08 15:53:30  logged in 
2012-10-09 09:00:34  logged in 
2012-10-09 13:40:57  logged in 
2012-10-09 13:42:45  logged out 
2012-10-09 13:42:50  logged in 
2012-10-09 13:43:27  logged out 
2012-10-09 13:43:33  logged in 
2012-10-09 13:46:03  logged out 
2012-10-09 13:46:10  logged in 
2012-10-09 13:48:56  logged in 
2012-10-09 13:49:58  logged out 
2012-10-09 13:50:08  logged in 
2012-10-09 13:50:23  logged out 
2012-10-09 13:50:33  logged in 
2012-10-09 13:53:06  logged in 
2012-10-09 13:54:16  logged out 
2012-10-09 13:54:23  logged out 
2012-10-09 13:57:00  logged in 
2012-10-09 13:57:33  logged in 
2012-10-09 13:59:16  logged out 
2012-10-09 14:00:18  logged in 
2012-10-09 14:00:56  logged out 
2012-10-09 14:01:04  logged in 
2012-10-09 14:09:11  logged out 
2012-10-09 14:09:29  logged in 
2012-10-09 14:10:57  logged out 
2012-10-09 14:11:04  logged in 
2012-10-09 14:12:40  logged out 
2012-10-09 14:12:59  logged in 
2012-10-09 14:13:38  logged out 
2012-10-09 14:13:46  logged in 
